Address,Amount
0x119c7bc8eccabe20766544b54395ccb7d228bf0e,60
0xcffc6e659df622e2d41c7a879c76e6d33f37925e,100
0xa05dbcabe51aa9dd88020fc8c336cc8ac17c482c,220
0x6306fd142edeca18a64fd7dbfb425e083ddce973,16
0x519d70f1bc214e10a3fc502e9ee3a36d490a53f0,3
0x33ebb62dc9ddbf6b8f3c0efdf5bccc2e7ac60211,15
0x5ebca2211dad51e9f8a3672d2a75e1e1d371944e,3
0x3d9b0a7ef1cceada457001a6d51f28ff61e39904,9
0x9cb5244cf244a66f4f9d8c20927410c8691c6019,11
0xcddc0759d8fe66dada09708d3afc36929e07402b,17
0x758e83c114e36a28ca1f31c4d2adb5ec7c04c578,269
0x586bbc13acd607d53ab44a1a6e56f564292742e5,600
0x5220dcff120e00cc238945686277f0e50782a22d,108
0x7f244b252922349aa6cd5edc0f56d1f59506fb6b,215
0x65c054647f781e6103746ef5e67aba3e091cf00d,14
0xa7d7ac8fe7e8693b5599c69cc7d4f6226677845b,9
0x42db18d76f0cde2a2c6115017f177fffae4d5409,59
0xc4213ffb2c152fd9687bbdb97b8f49a307ad9a47,5
0x54548ae55502086c7e046ddd5226c30b6c2c22ca,62
0x80b9aa22ccda52f40be998eeb19db4d08fafec3e,23
0x018c8a81cb02ca1a327baefd400f75f57ea57ba2,9
0xf13f7bf69a5e57ea3367222c65dd3380096d3fbf,203
0x4dbc571e60c5469c172b3b5319e764824f95bcc8,691
0x20134bf3fb2c960bbf6195ab43d87efb7dc042be,17
0x2b3fcc3c54d5dc4ce78f04910cc6ba30411e708e,17
0x0c1a3e4e1c3da4c89582dfa1afa87a1853d7f78f,335
0xee3106d27e6e9c5b329e4d39213eff3d5698080e,28
0x17c74dcedebe77a430dbabb6358c198229d36418,34
0xf4923ee86af285ea74df3f7360419aa30b471877,33
0xb5d26158102181dc4ceee75f260a60debd752e45,55
0x0d0bd6469be80d57893cf1b21434936dfaa35319,5
0x214d7e35cb265c416629d209e35fed58e252afce,6
0x9e0bf7fd04960e337298175b0ab1b1d5efc69b78,4
0x00ab97c782c661fb3d08c96dce06176938101211,10
0x5bca4075dfc8065235cf75c6b15b410e62845fec,14
0xb3ffd0f321abde1740f6e13be273348baad24291,12
0x90f15e09b8fb5bc080b968170c638920db3a3446,213
0xb4fbd802d9dc5c0208346c311bcb6b9ecff468c6,3
0x193641ea463c3b9244cf9f00b77ee5220d4154e9,9
0x1fb15dbaee24cd07887010960eea11540ef21da8,16
0xb44b8f1f521d4b0f6643481eebd43e4583232c76,4
0x56f5fc7ac3649a2c2af70299d64dbd1944df97f7,47
0xf8bac8af88da77f8101caf99e52c0f5a12b46fc7,10
0x0b60abe5886bda278862b4cc03a80f502246f793,10
0x0b1a89664970ebeb16d6a1a039017049eea45a20,25
0x640471b47929d9b43acc01cb36d86fa537f2876f,269
0x873f826cfe2663f078674e0fe01e6940deffb97b,8
0x55f1b72d43d85931c58018fbd7bf9d9142443216,4
0x41796be6fc882a4da5bba9ce17089a1ad1267e18,1
0x082bd11260ca7ade9145ade484262847229ac51e,2
0x689773905a0984e9ed727eb8363106adfe4d59e3,42
0x4cc08d4440ff49d4403159817868916e8a33202f,23
0xa811c417506720d045523c76cbf448407301a595,210
0xaf2fea8278222a8ab0f98a6386dcbe48b746942d,1
0xe11bf8c9d4fd0dec48f0c8e54c7083f3fed8ee5c,45
0x000149026f7deb08734a6c7e66c026c445acac98,3
0x762c8b9ffe6b8b34c8667717ec9ba07e53af1f7b,146
0x6281559f11b64180700b3ebb3796f5da2e678f2f,3
0x9eb366c9e226c1928578b7804bcc7042502febc7,41
0x2ee748a7e5975984caa20cc9d02cc83d5a1947a5,2
0x3f44e3c4ea8473fb96aea8967c1d35e05ca7c932,3
0xf54008f7b86bd6e5942623ec4744bba3084afb69,2
0xc47fae56f3702737b69ed615950c01217ec5c7c8,20
0xd9d7f6273ae21548e167ef7174df6d60e974c023,1
0x58a049263e0754cb51a63248c34ffe07e8434899,15
0x384324a2fb783cfff8d0f5ebb3f57955ffb8d565,3
0x56b496731e46cb5e4bfab47dcd58717e70441b8d,4
0xe0fab13e3a5fc6d7becd6fbc93e36250375491c6,3
0xa376466cd91feaab2b18b50ba00a5fdf4b70a8a3,15
0x261b013b82cf1f4f1d5572f40b42679e0dc5798b,1
0xe4032633726549c64988ceb9a9f5333a4666a960,20
0xbc4ff71f3278c125950382bce1aafba1238af288,17
0xccc8530c0f21f8a3eeb247d183a2f6c23cd96218,31
0x41b7d5bd3bb528f1358aaca73cbdf2cd7b34d966,1
0xcba504f2c4441edd3e6ab57a65da413fd4ceeb8d,8
0x74725834fafd09e55e8f5b2e6685f376b7d5ccf1,1
0x2f478ffd6610eebd07528f9e31521c28a042812b,3
0x41ed288dbf8493310d2bd57067c226a96610d2f9,2
0x24aa59b9967d01ab1021920f7ea92384671d13cf,34
